timestamp	follow	status	friend	text
1476760990892	816	6148	1122	"""RT @Sheladywolf: A vote for Evan McMullin is Absolutely NOT a wasted vote.It is a vote for honor, a vote for integrity, a vote for reason,"""
1476760992670	20	93	22	"""Spread the word of McMullin to your family and friends! #EvanHelpUs"""
1476760994052	1088	30091	890	"""RT @lotsofuss: #mondaymotivation #Evan  Evan McMullin: Donald Trump Is Helping Vladimir Putin Undermine Our Demo... https://t.co/jpcpIr8M6A"""
1476760995902	1409	10077	2315	"""RT @mkhammer: It's just a fact. Do you not know how the Electoral College works? https://t.co/td0XuajFPT https://t.co/t6GxlgiiQc"""
1476761001955	1088	30092	890	"""RT @bobwaters: Evan McMullin represents the future of the Right- and of the Center, which the two major parties have abandoned. https://t.c"""
1476761033005	72	2594	253	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476761033559	291	1326	577	"""RT @bobwaters: Evan McMullin represents the future of the Right- and of the Center, which the two major parties have abandoned. https://t.c"""
1476761033701	532036	43444	201547	"""Amazing. https://t.co/MUL6y4s8l9"""
1476761047004	2284	43	1211	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761052424	38	3475	96	"""RT @CapehartJ: Where were you ...when you would be attacked for standing up to Donald Trump's bigoted campaign? Evan McMullin. """
1476761055465	321	3945	1234	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761061126	234	1768	287	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761072268	1474	41288	1999	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761078748	1086	179143	1969	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761079606	500	5921	602	"""@AlbertsonB2 @HillaryClinton @BenSasse Gary Johnson cake? That would make it bipartisan. Or Evan McMullin?"""
1476761085963	1959	25559	3430	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761087347	350	22052	148	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761090440	8241	148581	717	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761090627	14	1136	69	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761090550	3168	15637	2650	"""I call bullshit on this one. Why didn't Hadas tweet about this DM? You McMullin ppl are as bad as #TrumpHumpers. Tr https://t.co/uR7BxZk8vC"""
1476761092085	131	3684	372	"""RT @Evan_McMullin: The polls are showing what we already knew: principled Americans are excited to support a better choice. #utpol """
1476761094987	603	27442	318	"""Voting this year straightforward. look at the field, criminal Hillary, pothead Johnson, Egghead McMullin or success https://t.co/2Mxvikgufm"""
1476761097901	146	19	596	"""@mitchellvii  https://t.co/vS1MSYxeZI"""
1476761102364	1197	7592	1112	"""RT @ericmetaxas: So let me put it another way. I think voting for Evan McMullin might feel good, but it will elect Hillary, which will feed"""
1476761103192	1503	174884	1958	"""Holy shit, Utah polls almost show a dead heat between Trump, Clinton and McMullin."""
1476761104465	1088	30095	890	"""RT @sjta_amy: #WriteinMitt #WriteinRomney votes for @MittRomney won't count, but votes for @Evan_McMullin will.  Tweet Mitt and l """
1476761111305	5868	382088	1234	"""Utah Poll: Independent Evan McMullin ties Trump |  https://t.co/DlXREIKwRS"""
1476761112542	260	8114	473	"""@wcoley1959 https://t.co/ngltuIGAXh"""
1476761117918	1850	48268	1685	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761139057	164	281	460	"""@realDonaldTrump go get UT! Don't let McMullin win it!"""
1476761140108	419	17545	1642	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761149923	2690	22308	1525	"""If McMullin wins Utah, the whole state is going to be unbearable for the next four years. "Hey, don't blame us...""""
1476761161517	147	3360	591	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761163402	1088	30098	890	"""RT @TeamMcMullin: Thank you, #Utah! #McMullinFinn #EvanUT #utpol https://t.co/2ilif2iuYj https://t.co/6y0BwGa6dm"""
1476761164332	1299	33356	1094	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761175438	500	5922	602	"""@AlbertsonB2 @HillaryClinton @BenSasse Then go with McMullin."""
1476761179927	393	23734	359	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761180807	1165	57470	1127	"""I don't use "LOL" often because I rarely actually LOL. But LOL https://t.co/oS1Ac9X6Ps"""
1476761183190	3195	50096	5001	"""RT @resurgent: Mitt Romney Should Immediately Endorse Evan McMullin  https://t.co/OEhqi9k4Vz https://t.co/JwmLaIt6tB"""
1476761186032	133	13207	372	"""RT @evansiegfried: I'm officially endorsing @Evan_McMullin for president because he appeals to our better angels """
1476761187228	379	4872	1255	"""Who the fuck is Evan McMullen? https://t.co/5GwhRzC2F8"""
1476761188230	817	6149	1124	"""RT @TeamMcMullin: Thank you, #Utah! #McMullinFinn #EvanUT #utpol https://t.co/2ilif2iuYj https://t.co/6y0BwGa6dm"""
1476761198315	97	236	398	"""@soledadobrien @mckaycoppins what point is this McMullin character trying to prove?"""
1476761206556	3195	50097	5001	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761211078	82	2885	132	"""RT @MiriintheVillag: I'm finding that Evan is very popular among the under-40 crowd across the US. This is the dawn of a new age of cons """
1476761214030	406	2182	610	"""RT @Las4Liberty: Meet Evan McMullin Via @NPR: Evan McMullin Calls Himself 'The Only Conservative' In Presidential Race """
1476761214635	510	2848	905	"""@NateSilver538 @FiveThirtyEight If McMullin wins Utah how much more difficult does it make for Trump to win?"""
1476761222326	2072	68766	906	"""No, I voted for McMullin or Castle. Your "A vote for A is a vote for B" is a False cause fallacy. @DrewB1961 @LimboCat"""
1476761225145	1129	5159	589	"""RT @NatSecGronk: I hope this isn't McMullin's last campaign. https://t.co/r8Psk1jhKc"""
1476761228356	1315	2700	2737	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476761238222	21	256	72	"""@o_crux_ave @AmSolidarity need less McMullin and more @mikematuren - baby steps!"""
1476761245202	762	88862	406	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761248709	1272	5943	2431	"""RT @DavidAFrench: Utah poll -- Trump 30 McMullin 29 Clinton 28. If McMullin forges ahead in Utah, could Idaho be next? https://t.co/y08An69"""
1476761253239	338	14756	343	"""RT @4nconsulting: @JustCallMeV2 @TaraSetmayer @TeamMcMullin With McMullin, we save Reagan Wing of the party and defeat Hillary Clinton."""
1476761261829	2816	29797	1146	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761277442	675	12353	1134	"""I hope McMullin wins! Utah is solid red state, but Trump has insulted them too. #NeverTrump https://t.co/WEtc8ZaNlN"""
1476761279223	12667	71858	1325	"""New Utah poll: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/9xGQNU4iul"""
1476761279305	1397	31591	2191	"""This is what happens when you nominate a toxic candidate for president https://t.co/JDCryt3XvB"""
1476761286694	36	3183	64	"""@FoxNews @IngrahamAngle Why are you supporting populist Democrat?  You, certainly, cannot be conservative.  Only conservative Evan McMullin."""
1476761286732	5559	28295	5006	"""RT @bolfase1: Voting this year straightforward. look at the field, criminal Hillary, pothead Johnson, Egghead McMullin or success """
1476761293205	2647	35251	2539	"""@thehill https://t.co/ZGXbG5pUU4 Go Team Evan McMullin!"""
1476761296080	776	18133	1196	"""RT @OmanReagan: New Utah poll: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/9xGQNU4iul"""
1476761297086	523	90118	1001	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761313840	1137	14208	427	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476761326839	1213	46530	3257	"""The conversation Evan McMullin wants to have @CNN https://t.co/Pb8v4WPPVN"""
1476761329868	1737	22593	2619	"""RT @PpollingNumbers: #Utah CBS News Poll:  Trump 37 (+17) McMullin 20 Clinton 20  https://t.co/9CCuWXCwCH"""
1476761347533	842	15567	859	"""RT @mkhammer: It's just a fact. Do you not know how the Electoral College works? https://t.co/td0XuajFPT https://t.co/t6GxlgiiQc"""
1476761356569	842	15568	859	"""RT @GaryB97087168: You can now vote for Evan McMullin in 42 states! https://t.co/DobYdqxJL3"""
1476761361192	2690	69927	3421	"""RT @Sheladywolf: A vote for Evan McMullin is Absolutely NOT a wasted vote.It is a vote for honor, a vote for integrity, a vote for reason,"""
1476761363994	165	3939	485	"""RT @PolitiBunny: No. I am voting for McMullin. My vote does not magically go to Hillary or Trump. Thx though. https://t.co/3YCcGLBzVA"""
1476761376848	238	56723	244	"""RT @soledadobrien: Amazing. https://t.co/MUL6y4s8l9"""
1476761412753	1589	49151	2783	"""RT @OmanReagan: New Utah poll: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/9xGQNU4iul"""
1476761425545	210	159	320	"""RT @SilverPatriot1: .@BenHowe, thanks for being 1 of the sanest voices this year, &amp; especially now, with your support of @Evan_McMullin  ht"""
1476761438578	1450	9034	2689	"""@FiveThirtyEight the paradox of this for mcmullin is awesome."""
1476761443629	338	14759	343	"""RT @mindyfinn: Pay attention to the great people of Utah. They know what's up! https://t.co/xAvKrkwbaK"""
1476761450160	1897	23189	592	"""This is how you know this election sucks. https://t.co/59oPzZIPxg"""
1476761455849	273	1483	874	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476761457734	3531	19814	4972	"""@purplepentape @resurgent @josh_hammer McMullin was his brainchild all along. Mitt's gang is a web of LDS political networking."""
1476761462557	1137	14208	427	"""@RayRichardsonJr you really need to rethink that claim of electoral college being close. Plus new poll has Trump -6 https://t.co/dnrFGiNUVp"""
